"","ligand","receptor"
"376","Ccl11","Ccr2"
"377","Ccl11","Ccr3"
"378","Ccl11","Ccr5"
"379","Ccl11","Cxcr3"
"380","Ccl2","Ackr2"
"381","Ccl2","Ackr4"
"382","Ccl2","Ccr1"
"383","Ccl2","Ccr2"
"384","Ccl2","Ccr3"
"385","Ccl2","Ccr5"
"386","Ccl2","Ccr9"
"387","Ccl2","Cxcr3"
"388","Ccl14","Ackr2"
"389","Ccl14","Ccr1"
"390","Ccl14","Ccr3"
"391","Ccl14","Ccr5"
"392","Ccl15","Ccr1"
"393","Ccl15","Ccr3"
"394","Ccl16","Ccr1"
"395","Ccl16","Ccr2"
"396","Ccl16","Ccr5"
"397","Ccl16","Ccr8"
"398","Ccl16","Hrh4"
"399","Ccl17","Ccr4"
"400","Ccl17","Ccr8"
"401","Ccl17","Darc"
"402","Ccl18","0610007p14rik"
"403","Ccl19","Ackr2"
"404","Ccl19","Ackr4"
"405","Ccl19","Ccr10"
"406","Ccl19","Ccr7"
"407","Ccl19","Ccrl2"
"408","Ccl19","Cxcr3"
"409","Ccl1","Ccr8"
"410","Ccl20","Ccr6"
"411","Ccl20","Cxcr3"
"412","Ccl21","Ackr2"
"413","Ccl21","Ackr4"
"414","Ccl21","Ccr7"
"415","Ccl21","Cxcr3"
"416","Ccl22","Ccr4"
"417","Ccl23","Ccr1"
"418","Ccl24","Ccr2"
"419","Ccl24","Ccr3"
"420","Ccl25","Ackr2"
"421","Ccl25","Ackr4"
"422","Ccl25","Ccr10"
"423","Ccl25","Ccr9"
"424","Ccl26","Ccr1"
"425","Ccl26","Ccr2"
"426","Ccl26","Ccr3"
"427","Ccl27","Ackr2"
"428","Ccl27","Ccr10"
"429","Ccl28","Ackr2"
"430","Ccl28","Ccr10"
"431","Ccl28","Ccr3"
"432","Ccl2","Ackr2"
"433","Ccl2","Ackr4"
"434","Ccl2","Ccr1"
"435","Ccl2","Ccr10"
"436","Ccl2","Ccr2"
"437","Ccl2","Ccr3"
"438","Ccl2","Ccr4"
"439","Ccl2","Ccr5"
"440","Ccl2","Darc"
"441","Ccl3l1","Ccr1"
"442","Ccl3l1","Ccr3"
"443","Ccl3l1","Ccr5"
"444","Ccl3l3","Ackr2"
"445","Ccl3l3","Ccr5"
"446","Ccl3","Ackr2"
"447","Ccl3","Ccr1"
"448","Ccl3","Ccr3"
"449","Ccl3","Ccr4"
"450","Ccl3","Ccr5"
"451","Ccl4","Ackr2"
"452","Ccl4","Ccr1"
"453","Ccl4","Ccr3"
"454","Ccl4","Ccr5"
"455","Ccl4","Ccr8"
"456","Ccl5","Ackr2"
"457","Ccl5","Ackr4"
"458","Ccl5","Ccr1"
"459","Ccl5","Ccr3"
"460","Ccl5","Ccr4"
"461","Ccl5","Ccr5"
"462","Ccl5","Cxcr3"
"463","Ccl5","Darc"
"464","Ccl5","Gpr75"
"465","Ccl5","Sdc1"
"466","Ccl5","Sdc4"
"467","Ccl7","Ackr2"
"468","Ccl7","Ackr4"
"469","Ccl7","Ccr1"
"470","Ccl7","Ccr10"
"471","Ccl7","Ccr2"
"472","Ccl7","Ccr3"
"473","Ccl7","Ccr5"
"474","Ccl7","Cxcr3"
"475","Ccl7","Darc"
